# This is a list of student data. The "supervisors" column lists each
# student's supervisors (some do not yet have one). The "club" column
# lists the clubs that the student belongs to.
#
first_name|last_name|city|supervisors|status|club
Germaine|Tanner|Saint Joseph||Freshman|Improvisation, Football, Chess, Debate
Priscilla|Potter|Newport News|Tennant/Room 101|Senior|
Hilel|Kemp|Bakersfield||Sophomore|Improvisation, Debate, Rugby
Reagan|Goodwin|Nashville|Baker/Room 315|Freshman|
Ruth|Cole|Selma|Baker/Room 315, Eccleston/Room 205|Sophomore|Rugby
Ann|Levy|Port Huron|Eccleston/Room 205|Junior|Chess, Debate, Improvisation
Jasper|Dyer|Covington||Senior|Football
Tasha|Leonard|Compton|Smith/Room 210|Sophomore|
Philip|Parks|La Verne|Eccleston/Room 205, Baker/Room 315|Sophomore|Debate, Rugby
Reagan|Slater|Aspen|Tennant/Room 101, Baker/Room 315|Junior|Improvisation
Austin|Robles|Idaho Springs|Tennant/Room 101|Junior|Improvisation, Football
Inga|Hendricks|Fairmont|Eccleston/Room 205|Senior|Football, Debate, Rugby
Demetrius|Mays|Ogden|Baker/Room 315, Tennant/Room 101|Senior|
Amber|Lawson|Coatesville||Senior|Improvisation, Chess, Football
Fritz|Mccormick|Saipan|Tennant/Room 101, Eccleston/Room 205|Senior|Improvisation, Chess
Yeo|Bryant|West Allis||Freshman|
Noble|Vazquez|Glendale|Baker/Room 315|Freshman|Chess
Florence|Lang|Mentor||Freshman|Improvisation
Amaya|Holland|Cedar Falls|Baker/Room 315|Freshman|Improvisation, Football, Chess, Rugby
Nash|Britt|Rawlins||Freshman|Improvisation, Debate
Laurel|Russo|Columbia|Baker/Room 315, Smith/Room 210|Junior|
Aileen|Wilkinson|Cody|Baker/Room 315, Tennant/Room 101|Junior|
Rachel|Brown|Corvallis|Baker/Room 315, Eccleston/Room 205|Senior|Football, Improvisation, Rugby
Stuart|Little|Seal Beach||Freshman|Chess, Football
Ruby|Dodson|Fairfax||Freshman|Football, Debate, Rugby
Gisela|Howe|Lincoln||Junior|Chess, Football, Improvisation, Rugby
Karleigh|Case|Indio|Tennant/Room 101, Baker/Room 315|Freshman|Rugby, Chess
Alfreda|Hanson|Perth Amboy|Smith/Room 210|Junior|Football, Debate
Iola|Gallegos|Rancho Cucamonga|Smith/Room 210, Tennant/Room 101|Junior|Rugby, Debate, Chess
Eagan|Reese|Janesville|Tennant/Room 101, Eccleston/Room 205|Freshman|
Gage|Stevenson|Hackensack||Junior|Improvisation, Chess
Kasper|Stephenson|Oil City|Eccleston/Room 205, Smith/Room 210|Senior|Rugby, Chess
Xantha|Michael|Ansonia||Sophomore|
Hedley|Cardenas|West Warwick||Senior|Debate, Chess, Improvisation
Hedley|Meadows|Fairbanks|Smith/Room 210|Junior|
Nerea|Whitney|Miami Beach|Baker/Room 315|Junior|Improvisation, Football
Gabriel|Clarke|North Adams|Eccleston/Room 205|Sophomore|Debate, Improvisation, Rugby, Football
Jaden|Coleman|Washington||Senior|Rugby, Debate, Football
Orson|Morin|Klamath Falls|Baker/Room 315|Sophomore|
Maya|Mccullough|Hartford|Tennant/Room 101|Freshman|Rugby, Chess
Elvis|Ballard|Cambridge|Eccleston/Room 205, Baker/Room 315|Junior|Debate, Chess, Football
Josephine|Wilkinson|Batavia|Tennant/Room 101, Eccleston/Room 205|Senior|Football, Improvisation, Rugby
Elmo|Webb|South Portland|Tennant/Room 101|Senior|
Simone|Velez|Martinsburg|Baker/Room 315, Smith/Room 210|Junior|Chess, Rugby
Shaeleigh|Mercado|Las Vegas|Baker/Room 315, Smith/Room 210|Freshman|Rugby, Chess, Football, Debate
Haley|Cash|Chino Hills|Smith/Room 210, Tennant/Room 101|Sophomore|
Megan|Bates|Fort Wayne||Sophomore|Rugby
Ariel|Hopkins|Meriden||Senior|Football, Debate, Improvisation
Barclay|Herman|Portsmouth|Eccleston/Room 205|Junior|Rugby, Debate, Improvisation, Football
Ira|Rowe|Valparaiso|Baker/Room 315, Smith/Room 210|Senior|Chess
Amity|Quinn|Joliet|Smith/Room 210, Tennant/Room 101|Sophomore|Football, Rugby, Chess, Improvisation
Dustin|Forbes|Gadsden||Junior|Debate, Chess, Football, Rugby
Holmes|Downs|Denver|Tennant/Room 101, Baker/Room 315|Junior|Improvisation, Chess, Debate
